HOST_CASE case_id=ARR_mitdb_118_chunk00 class_label=ARR mem_path=fullrec_afe_30min_annotation_valid_balanced/test/ARR/118/118_30min_w000.mem
SNN_ECG_FULL_REPLAY_BEGIN
protocol=raw_i16le_chunk_ack sample_bytes=2 chunk_samples=4096 ack_byte=0xA5
snn_config=0xD8C023C0 feeder_config=0xF1F01010
total_samples=1800000
SNN_ECG_FULL_REPLAY_READY total_samples=1800000
BOARD_PROGRESS samples_received=1646592 samples_sent_to_ip=1646592
BOARD_PROGRESS samples_received=1650688 samples_sent_to_ip=1650688
BOARD_PROGRESS samples_received=1654784 samples_sent_to_ip=1654784
BOARD_PROGRESS samples_received=1658880 samples_sent_to_ip=1658880
BOARD_PROGRESS samples_received=1662976 samples_sent_to_ip=1662976
BOARD_PROGRESS samples_received=1667072 samples_sent_to_ip=1667072
BOARD_PROGRESS samples_received=1671168 samples_sent_to_ip=1671168
BOARD_PROGRESS samples_received=1675264 samples_sent_to_ip=1675264
BOARD_PROGRESS samples_received=1679360 samples_sent_to_ip=1679360
BOARD_PROGRESS samples_received=1683456 samples_sent_to_ip=1683456
BOARD_PROGRESS samples_received=1687552 samples_sent_to_ip=1687552
BOARD_PROGRESS samples_received=1691648 samples_sent_to_ip=1691648
BOARD_PROGRESS samples_received=1695744 samples_sent_to_ip=1695744
BOARD_PROGRESS samples_received=1699840 samples_sent_to_ip=1699840
BOARD_PROGRESS samples_received=1703936 samples_sent_to_ip=1703936
BOARD_PROGRESS samples_received=1708032 samples_sent_to_ip=1708032
BOARD_PROGRESS samples_received=1712128 samples_sent_to_ip=1712128
BOARD_PROGRESS samples_received=1716224 samples_sent_to_ip=1716224
BOARD_PROGRESS samples_received=1720320 samples_sent_to_ip=1720320
BOARD_PROGRESS samples_received=1724416 samples_sent_to_ip=1724416
BOARD_PROGRESS samples_received=1728512 samples_sent_to_ip=1728512
BOARD_PROGRESS samples_received=1732608 samples_sent_to_ip=1732608
BOARD_PROGRESS samples_received=1736704 samples_sent_to_ip=1736704
BOARD_PROGRESS samples_received=1740800 samples_sent_to_ip=1740800
BOARD_PROGRESS samples_received=1744896 samples_sent_to_ip=1744896
BOARD_PROGRESS samples_received=1748992 samples_sent_to_ip=1748992
BOARD_PROGRESS samples_received=1753088 samples_sent_to_ip=1753088
BOARD_PROGRESS samples_received=1757184 samples_sent_to_ip=1757184
BOARD_PROGRESS samples_received=1761280 samples_sent_to_ip=1761280
BOARD_PROGRESS samples_received=1765376 samples_sent_to_ip=1765376
BOARD_PROGRESS samples_received=1769472 samples_sent_to_ip=1769472
BOARD_PROGRESS samples_received=1773568 samples_sent_to_ip=1773568
BOARD_PROGRESS samples_received=1777664 samples_sent_to_ip=1777664
BOARD_PROGRESS samples_received=1781760 samples_sent_to_ip=1781760
BOARD_PROGRESS samples_received=1785856 samples_sent_to_ip=1785856
BOARD_PROGRESS samples_received=1789952 samples_sent_to_ip=1789952
BOARD_PROGRESS samples_received=1794048 samples_sent_to_ip=1794048
BOARD_PROGRESS samples_received=1798144 samples_sent_to_ip=1798144
BOARD_PROGRESS samples_received=1800000 samples_sent_to_ip=1800000
BOARD_RESULT samples_received=1800000 samples_sent_to_ip=1800000
BOARD_RESULT samples_accepted=1800000 samples_consumed=1800000 snapshot_count=30 decision_count=1
BOARD_RESULT final_pred_reg=0x105 final_valid=1 done=1 final_pred=2
BOARD_RESULT final_mem_nsr=7 final_mem_chf=1 final_mem_arr=21 final_mem_aff=1
BOARD_RESULT feeder_write_count=1800000 feeder_tx_count=1800000 feeder_tlast_count=1
BOARD_RESULT status=0x21D06 snn_error=0x0 feeder_error=0x0
BOARD_PROFILE profile_total_lo=1921082681 profile_total_hi=4
BOARD_PROFILE profile_busy_lo=1921082681 profile_busy_hi=4
BOARD_PROFILE profile_run_lo=1921081361 profile_run_hi=4
BOARD_PROFILE profile_input_wait_lo=1917481391 profile_input_wait_hi=4
BOARD_PROFILE profile_accepted_lo=1800000 profile_accepted_hi=0
BOARD_PROFILE profile_windows_lo=30 profile_windows_hi=0
BOARD_PROFILE profile_decisions_lo=1 profile_decisions_hi=0
SNN_ECG_FULL_REPLAY_BOARD_PASS
